mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_roc_auc,split1_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
37.42712640762329,4.241912841796875,2.374065399169922,0.8226947784423828,True,gini,,1,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9119746715436259,0.9583746415703487,0.9351746565569873,0.0231999850133614,418,0.8184497370165122,0.9265959000827775,0.8725228185496449,0.054073081533132616,323
74.44583797454834,11.245409488677979,4.436698913574219,1.3058607578277588,True,gini,,1,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9240792026675955,0.9587497753569522,0.9414144890122738,0.017335286344678347,383,0.8189291707207017,0.9277280031163266,0.8733285869185141,0.05439941619781247,285
108.19280707836151,12.625409245491028,6.510916113853455,2.1408525705337524,True,gini,,1,2,300,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9338215045975333,0.9588439228600949,0.9463327137288141,0.012511209131280787,318,0.8191970895553957,0.9278253883235137,0.8735112389394547,0.054314149384058985,273
32.23319745063782,0.4861764907836914,2.2358651161193848,0.6882200241088867,True,gini,,1,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9255789072237208,0.9585751268271261,0.9420770170254235,0.016498109801702632,377,0.8190842816249982,0.9293348590349126,0.8742095703299555,0.0551252887049572,247
62.325990080833435,3.5866509675979614,4.261569142341614,1.3667136430740356,True,gini,,1,5,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9342697378066751,0.9588300097256178,0.9465498737661464,0.012280135959471361,311,0.8199585430855789,0.9305156546720553,0.8752370988788172,0.055278555793238204,205
94.1678615808487,2.483841300010681,6.426231026649475,1.9955002069473267,True,gini,,1,5,300,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9390315218886002,0.9588478066242522,0.9489396642564262,0.009908142367826,255,0.8199021391203801,0.930345230559478,0.8751236848399291,0.05522154571954896,219
31.463253140449524,0.5078505277633667,2.179818034172058,0.7015982866287231,True,gini,,1,10,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9368350502274537,0.9588948328643727,0.9478649415459133,0.011029891318459495,282,0.8202123609289733,0.9311973511223645,0.8757048560256688,0.05549249509669557,161
63.37421905994415,1.4778023958206177,4.124315977096558,1.3561475276947021,True,gini,,1,10,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9436076448869886,0.9590999792914215,0.9513538120892051,0.007746167202216492,182,0.8201418559724749,0.9324877051175926,0.8763147805450338,0.05617292457255885,119
95.11812424659729,1.1869819164276123,6.275401592254639,2.12998104095459,True,gini,,1,10,300,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.9467659357336721,0.9589934535706096,0.9528796946521408,0.00611375891846877,153,0.8203110678680712,0.9323538004577104,0.8763324341628909,0.05602136629481963,118
31.128983974456787,0.2853991985321045,2.147286891937256,0.6970322132110596,True,gini,,2,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9325177973368568,0.9588538055388103,0.9456858014378335,0.013168004100976738,325,0.8186612518860076,0.9285922968301115,0.8736267743580595,0.05496552247205194,268
63.131646513938904,0.12823259830474854,4.205056071281433,1.420941948890686,True,gini,,2,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9388646730206177,0.9590190631334369,0.9489418680770273,0.010077195056409582,254,0.8188022617990045,0.9316477577056045,0.8752250097523044,0.05642274795329999,207
95.77044916152954,0.9513235092163086,6.587087154388428,2.1240999698638916,True,gini,,2,2,300,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.9429411872660279,0.9591321608756824,0.9510366740708551,0.008095486804827245,192,0.8185625449469097,0.9317329697618931,0.8751477573544014,0.0565852124074917,216
30.607757687568665,0.23908007144927979,2.098245859146118,0.686007022857666,True,gini,,2,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9355291341510216,0.95891424990348,0.9472216920272507,0.011692557876229193,298,0.8178997983558244,0.9301261138433072,0.8740129560995658,0.056113157743741426,251
