step,loss
0,184.94769287109375
1,184.76681518554688
2,184.11920166015625
3,182.94729614257812
4,181.16163635253903
5,178.6376190185547
6,175.09771728515625
7,170.2595672607422
8,163.711669921875
9,155.09156799316406
10,143.8653106689453
11,129.3202362060547
12,110.5839614868164
13,86.90837860107422
14,58.72602462768555
15,35.98713302612305
16,55.99783706665039
17,68.9779281616211
18,62.52066421508789
19,45.21159744262695
20,26.70064926147461
21,24.933378219604492
22,34.29793930053711
23,39.51963424682617
24,39.40693664550781
25,34.65087890625
26,26.6738338470459
27,20.518251419067383
28,24.455101013183594
29,30.017183303833008
30,29.73830223083496
31,24.185287475585938
32,18.76435279846191
33,20.424001693725582
34,23.896203994750977
35,24.459596633911133
36,22.064697265625
37,19.03458023071289
38,19.209884643554688
39,21.392837524414062
40,21.29822540283203
41,18.777793884277344
42,17.294023513793945
43,18.494354248046875
44,19.283016204833984
45,18.391939163208008
46,17.106884002685547
47,17.377527236938477
48,18.309202194213867
49,18.03879737854004
50,16.967145919799805
51,16.80921173095703
52,17.216341018676758
53,16.90350914001465
54,16.289888381958008
55,16.297834396362305
56,16.51980209350586
57,16.14230728149414
58,15.797765731811523
59,15.890722274780272
60,15.663384437561035
61,15.406170845031738
62,15.472667694091797
63,15.27749729156494
64,15.111590385437012
65,15.029903411865234
66,14.76223087310791
67,14.668951034545898
68,14.46646213531494
69,14.379486083984377
70,14.191590309143066
71,14.04409885406494
72,13.95716381072998
73,13.843079566955566
74,13.703347206115724
75,13.597156524658203
76,13.47771167755127
77,13.364447593688965
78,13.268817901611328
79,13.252289772033691
80,13.300458908081056
81,13.075931549072266
82,12.880401611328123
83,12.899085998535156
84,12.829687118530272
85,12.633336067199709
86,12.553289413452148
87,12.622718811035156
88,12.621277809143066
89,12.349931716918944
90,12.308897018432615
91,12.330480575561523
92,12.10765552520752
93,12.06067180633545
94,12.036008834838867
95,11.879422187805176
96,11.856332778930664
97,11.826786041259766
98,11.668219566345217
99,11.619482040405272
100,11.576079368591309
101,11.482349395751951
102,11.374300003051758
103,11.29754638671875
104,11.256338119506836
105,11.247529983520508
106,11.239355087280272
107,11.13693904876709
108,10.97410488128662
109,10.863045692443848
110,10.836963653564451
111,10.812657356262209
112,10.715744972229004
113,10.58507251739502
114,10.460604667663574
115,10.369277000427246
116,10.322608947753906
117,10.390405654907228
118,10.543500900268556
119,10.439043045043944
120,9.99615478515625
121,9.802648544311523
122,9.95138931274414
123,9.853551864624023
124,9.470210075378418
125,9.319098472595217
126,9.382145881652832
127,9.230158805847168
128,8.931336402893066
129,8.704862594604492
130,8.627863883972168
131,8.769882202148438
132,9.347769737243652
133,9.177892684936523
134,8.228043556213379
135,8.146496772766113
136,8.47411060333252
137,8.300783157348633
138,7.690502643585205
139,7.921799182891846
140,8.17363452911377
141,8.06663703918457
142,7.609148979187012
143,7.553924083709717
144,7.785012722015381
145,7.698203086853027
146,7.406985759735107
147,7.2294464111328125
148,7.307701587677002
149,7.429215431213379
150,7.36235237121582
151,7.173160076141357
152,6.998232841491699
153,7.010666370391846
154,7.10968542098999
155,7.150424003601074
156,7.170207977294922
157,7.0721659660339355
158,6.878654479980469
159,6.7489705085754395
160,6.713409423828125
161,6.726728439331055
162,6.769436836242676
163,6.83701753616333
164,6.944491386413574
165,7.042618274688721
166,7.010469913482666
167,6.822447299957275
168,6.647234916687012
169,6.640331745147705
170,6.656409740447998
171,6.531644344329834
172,6.438831329345703
173,6.53446626663208
174,6.550780773162842
175,6.517426013946533
176,6.812971591949463
177,7.242006778717041
178,6.956199645996094
179,6.690439701080322
180,6.395529747009277
181,6.243527412414551
182,6.395525932312012
183,6.515801906585693
184,6.691619873046875
185,6.872791767120361
186,6.658696174621582
187,6.378175258636475
188,6.2341108322143555
189,6.108387470245361
190,6.190852165222168
191,6.313234329223633
192,6.559249401092529
193,6.92922306060791
194,6.643436431884766
195,6.26039457321167
196,6.043834209442139
197,6.059134483337402
198,6.212517738342285
